12 monthly
105
1	96
2	95.8
3	96.2
4	98.7
5	98.8
6	99.6
7	101.1
8	101.2
9	104.9
10	104.4
11	102.6
12	100.5
13	100.2
14	100.4
15	100.2
16	101.7
17	102.9
18	102.8
19	103.6
20	103.8
21	102.8
22	101
23	100
24	99.8
25	99.2
26	98.4
27	99.6
28	100.9
29	102.3
30	102.9
31	103.2
32	103.2
33	102.7
34	102.8
35	103.9
36	104.5
37	106
38	105.5
39	105.7
40	105.7
41	107.1
42	108
43	107.6
44	106.3
45	105.4
46	102.1
47	98.1
48	94.8
49	94.1
50	95.8
51	96.4
52	97.5
53	98.2
54	100.1
55	100.2
56	100.2
57	99.5
58	98.8
59	99.7
60	99
61	100.4
62	99.7
63	100.5
64	101.5
65	101.9
66	101.9
67	101.7
68	100.9
69	100.4
70	100.1
71	100
72	101.6
73	102.5
74	102.5
75	103.3
76	103.8
77	104
78	103.8
79	103.8
80	104
81	103.9
82	104.2
83	104.4
84	104.5
85	106.4
86	106.7
87	107.4
88	107.9
89	107.3
90	106.3
91	105.8
92	107
93	107.7
94	107
95	105.6
96	104.7
97	105.2
98	106.1
99	106.6
100	106.1
101	105.6
102	105.9
103	106.4
104	106.5
105	106.4
